filename,participant_id,category,age,transformed_ink,source_ink,ink_added,incorrect
S7_age1_Watch_trial016.png,S7,watch,4,0.725,0.084,0.64,1
S44_age3_House_trial009.png,S44,house,6,0.642,0.016,0.626,1
S1_age1_Hat_trial016.png,S1,hat,4,0.606,0.036,0.57,1
S27_age2_Watch_trial013.png,S27,watch,5,0.589,0.061,0.528,1
S29_age2_Cup_trial010.png,S29,cup,5,0.576,0.058,0.518,1
S37_age2_Bird_trial006.png,S37,bird,5,0.561,0.041,0.52,1
S55_age3_Bird_trial007.png,S55,bird,6,0.497,0.033,0.465,1
S5_age1_Watch_trial009.png,S5,watch,4,0.463,0.048,0.415,1
S26_age2_Cup_trial012.png,S26,cup,5,0.448,0.046,0.402,1
S65_age4_Watch_trial010.png,S65,watch,7,0.443,0.06,0.384,1
S99_age5_Watch_trial015.png,S99,watch,8,0.434,0.054,0.38,1
S4_age1_Watch_trial016.png,S4,watch,4,0.429,0.067,0.362,1
S71_age4_Watch_trial015.png,S71,watch,7,0.428,0.057,0.371,1
S56_age3_Watch_trial005.png,S56,watch,6,0.421,0.065,0.357,1
S56_age3_Hat_trial014.png,S56,hat,6,0.418,0.025,0.393,1
S97_age5_Cup_trial008.png,S97,cup,8,0.416,0.045,0.371,1
S39_age2_Rabbit_trial012.png,S39,rabbit,5,0.415,0.034,0.382,1
S97_age5_Watch_trial010.png,S97,watch,8,0.412,0.037,0.375,1
S1_age1_Watch_trial006.png,S1,watch,4,0.41,0.055,0.355,1
S2_age1_Cup_trial007.png,S2,cup,4,0.408,0.043,0.365,1
S37_age2_Cup_trial010.png,S37,cup,5,0.397,0.046,0.351,1
S33_age2_Cup_trial014.png,S33,cup,5,0.395,0.045,0.349,1
S18_age1_Tree_trial016.png,S18,tree,4,0.386,0.034,0.352,1
S4_age1_Hat_trial013.png,S4,hat,4,0.384,0.04,0.344,1
S18_age1_Bicycle_trial012.png,S18,bike,4,0.381,0.03,0.351,1
S37_age2_Airplane_trial008.png,S37,airplane,5,0.38,0.05,0.33,1
S112_age6_Cup_trial009.png,S112,cup,9,0.378,0.049,0.329,1
S51_age3_Tree_trial013.png,S51,tree,6,0.375,0.051,0.324,1
S87_age5_Hat_trial011.png,S87,hat,8,0.37,0.045,0.325,1
S88_age5_Bicycle_trial007.png,S88,bike,8,0.368,0.049,0.318,1
S32_age2_Bird_trial012.png,S32,bird,5,0.365,0.041,0.324,1
S87_age5_Watch_trial010.png,S87,watch,8,0.363,0.044,0.319,1
S120_age6_Hat_trial007.png,S120,hat,9,0.363,0.037,0.326,1
S68_age4_Hat_trial013.png,S68,hat,7,0.36,0.031,0.329,1
S39_age2_Hat_trial016.png,S39,hat,5,0.36,0.039,0.321,1
S4_age1_Cat_trial010.png,S4,cat,4,0.357,0.038,0.319,1
S55_age3_Cat_trial012.png,S55,cat,6,0.351,0.033,0.318,1
S68_age4_Cup_trial006.png,S68,cup,7,0.349,0.074,0.275,1
S29_age2_Chair_trial009.png,S29,chair,5,0.349,0.053,0.297,1
S27_age2_Chair_trial011.png,S27,chair,5,0.345,0.04,0.305,1
S22_age2_Watch_trial010.png,S22,watch,5,0.344,0.051,0.293,1
S23_age2_House_trial015.png,S23,house,5,0.343,0.028,0.314,1
S77_age4_Hat_trial008.png,S77,hat,7,0.342,0.034,0.309,1
S91_age5_Cup_trial015.png,S91,cup,8,0.333,0.045,0.288,1
S26_age2_Hat_trial011.png,S26,hat,5,0.332,0.027,0.304,1
S56_age3_Cup_trial011.png,S56,cup,6,0.332,0.036,0.296,1
S7_age1_Rabbit_trial011.png,S7,rabbit,4,0.331,0.055,0.276,1
S72_age4_Rabbit_trial009.png,S72,rabbit,7,0.33,0.044,0.286,1
S105_age6_Hat_trial015.png,S105,hat,9,0.329,0.044,0.285,1
S61_age4_Watch_trial011.png,S61,watch,7,0.328,0.084,0.244,1
S97_age5_Cat_trial015.png,S97,cat,8,0.328,0.05,0.278,1
S52_age3_Watch_trial013.png,S52,watch,6,0.323,0.068,0.255,1
S2_age1_Hat_trial006.png,S2,hat,4,0.323,0.048,0.275,1
S100_age5_Car_trial012.png,S100,car,8,0.319,0.062,0.257,1
S50_age3_Watch_trial010.png,S50,watch,6,0.317,0.06,0.256,1
S4_age1_Bird_trial005.png,S4,bird,4,0.317,0.042,0.275,1
S55_age3_Cup_trial015.png,S55,cup,6,0.316,0.036,0.281,1
S92_age5_House_trial013.png,S92,house,8,0.316,0.221,0.095,0
S74_age4_Cup_trial007.png,S74,cup,7,0.315,0.047,0.268,1
S101_age6_Chair_trial009.png,S101,chair,9,0.315,0.071,0.245,1
S38_age2_Hat_trial011.png,S38,hat,5,0.313,0.044,0.268,1
S74_age4_Airplane_trial015.png,S74,airplane,7,0.31,0.058,0.252,1
S33_age2_House_trial008.png,S33,house,5,0.309,0.055,0.255,1
S22_age2_Cup_trial015.png,S22,cup,5,0.308,0.038,0.27,1
S32_age2_Airplane_trial010.png,S32,airplane,5,0.306,0.05,0.256,1
S17_age1_Bird_trial007.png,S17,bird,4,0.306,0.059,0.247,1
S23_age2_Rabbit_trial008.png,S23,rabbit,5,0.303,0.038,0.265,1
S37_age2_Car_trial007.png,S37,car,5,0.302,0.045,0.257,1
S117_age6_Watch_trial007.png,S117,watch,9,0.301,0.059,0.242,1
S64_age4_Hat_trial013.png,S64,hat,7,0.299,0.045,0.254,1
S36_age2_Bicycle_trial015.png,S36,bike,5,0.298,0.061,0.237,1
S105_age6_Cup_trial011.png,S105,cup,9,0.298,0.04,0.259,1
S53_age3_Cat_trial007.png,S53,cat,6,0.296,0.045,0.251,1
S91_age5_Chair_trial008.png,S91,chair,8,0.296,0.042,0.254,1
S37_age2_Cat_trial012.png,S37,cat,5,0.296,0.051,0.245,1
S54_age3_Cup_trial013.png,S54,cup,6,0.295,0.047,0.249,1
S55_age3_Car_trial011.png,S55,car,6,0.293,0.041,0.252,1
S69_age4_Hat_trial008.png,S69,hat,7,0.293,0.07,0.224,1
S7_age1_Cup_trial012.png,S7,cup,4,0.293,0.04,0.253,1
S48_age3_Bird_trial008.png,S48,bird,6,0.292,0.032,0.261,1
S107_age6_Cup_trial008.png,S107,cup,9,0.291,0.042,0.249,1
S48_age3_Cup_trial015.png,S48,cup,6,0.29,0.035,0.255,1
S38_age2_Rabbit_trial009.png,S38,rabbit,5,0.288,0.059,0.229,1
S97_age5_Rabbit_trial012.png,S97,rabbit,8,0.288,0.036,0.251,1
